"User ID","Anonymized User ID","Course Specific Anonymized User ID"
"2","c81e728d9d4c2f636f067f89cc14862c","5d4113a19ec39565f2641e43c4364625"
"5","e4da3b7fbbce2345d7772b0674a318d5","b31a8a39a2f3de6008ded1ad41a26422"
"6","1679091c5a880faf6fb5e6087eb1b2dc","c15a2ba762423f94284055bed01cece0"
"7","8f14e45fceea167a5a36dedd4bea2543","d4d765c1172e9abd16a85edbdeb12a1f"
"8","c9f0f895fb98ab9159f51fd0297e236d","55100642e91b3f4110624e2a0b35b1ed"
"9","45c48cce2e2d7fbdea1afc51c7c6ad26","697b202b674818e53e2b47b21701b606"
"10","d3d9446802a44259755d38e6d163e820","3c2b977cc353e68d261dc35259d2a1d5"
"11","6512bd43d9caa6e02c990b0a82652dca","29e77cbacaf2575685ccb74dbb5ee94e"
"12","c20ad4d76fe97759aa27a0c99bff6710","bafeb12780f04cafa1960d57efd00286"
"13","c51ce410c124a10e0db5e4b97fc2af39","b6c1aed377582d86be727dca13f6114e"
"21","3c59dc048e8850243be8079a5c74d079","a75141c206e5419e68106b1886026623"
"22","b6d767d2f8ed5d21a44b0e5886680cb9","e17a92845eb03607ca2b94c1aa5bca41"
"23","37693cfc748049e45d87b8c7d8b9aacd","75a6b0d7d17c7d2e375f7be1c2f4e5a9"
"24","1ff1de774005f8da13f42943881c655f","d863b9d4b531198efe8289abfc988420"
"25","8e296a067a37563370ded05f5a3bf3ec","3012fe8360ddee947d1233b325d20975"
"35","1c383cd30b7c298ab50293adfecb7b18","5431e8c2bcb470d27db84519cbd9fe26"
"48","642e92efb79421734881b53e1e1b18b6","3a58e0ef594a5e321e19e3cff150cb4a"
"49","f457c545a9ded88f18ecee47145a72c0","8bb82842dfcce8a159ad4b43df7ca640"
"50","c0c7c76d30bd3dcaefc96f40275bdc0a","1555b1fb61304a49cffbb3e0fa72b892"
"51","2838023a778dfaecdc212708f721b788","063580a96bbf03d5ea93c60a36be9205"
